IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
SE_DEV_ONTRK,"Children aged 36-59 months who are developmentally on track in at least three of the following domains: literacy-numeracy, physical development, social-emotional development and learning (%)",numeric,EUR,Europe,Country,UZB,Uzbekistan,Year,2022,true,Sex,Male,SEX_MLE,Age Group,24 to 59 months,AGEGROUP_MONTHS24-59,,,,,,,79.26,,,,,,79.3,,ECDI 2030,EN,2024-03-18T00:00:00.000Z
SE_DEV_ONTRK,"Children aged 36-59 months who are developmentally on track in at least three of the following domains: literacy-numeracy, physical development, social-emotional development and learning (%)",numeric,EUR,Europe,Country,UZB,Uzbekistan,Year,2022,true,Sex,Both sexes,SEX_BTSX,Age Group,24 to 59 months,AGEGROUP_MONTHS24-59,,,,,,,82.61,,,,,,82.6,,ECDI 2030,EN,2024-03-18T00:00:00.000Z
SE_DEV_ONTRK,"Children aged 36-59 months who are developmentally on track in at least three of the following domains: literacy-numeracy, physical development, social-emotional development and learning (%)",numeric,EUR,Europe,Country,UZB,Uzbekistan,Year,2022,true,Sex,Female,SEX_FMLE,Age Group,24 to 59 months,AGEGROUP_MONTHS24-59,,,,,,,86.2,,,,,,86.2,,ECDI 2030,EN,2024-03-18T00:00:00.000Z
SE_DEV_ONTRK,"Children aged 36-59 months who are developmentally on track in at least three of the following domains: literacy-numeracy, physical development, social-emotional development and learning (%)",numeric,AFR,Africa,Country,NGA,Nigeria,Year,2021,true,Sex,Male,SEX_MLE,Age Group,24 to 59 months,AGEGROUP_MONTHS24-59,,,,,,,46.77,,,,,,46.8,,"ECDI 2030; Due to prolonged insecurity concerns, some parts of states, including Borno state, were not sampled",EN,2024-03-18T00:00:00.000Z
SE_DEV_ONTRK,"Children aged 36-59 months who are developmentally on track in at least three of the following domains: literacy-numeracy, physical development, social-emotional development and learning (%)",numeric,AFR,Africa,Country,NGA,Nigeria,Year,2021,true,Sex,Both sexes,SEX_BTSX,Age Group,24 to 59 months,AGEGROUP_MONTHS24-59,,,,,,,47.71,,,,,,47.7,,"ECDI 2030; Due to prolonged insecurity concerns, some parts of states, including Borno state, were not sampled",EN,2024-03-18T00:00:00.000Z
SE_DEV_ONTRK,"Children aged 36-59 months who are developmentally on track in at least three of the following domains: literacy-numeracy, physical development, social-emotional development and learning (%)",numeric,AFR,Africa,Country,NGA,Nigeria,Year,2021,true,Sex,Female,SEX_FMLE,Age Group,24 to 59 months,AGEGROUP_MONTHS24-59,,,,,,,48.6,,,,,,48.6,,"ECDI 2030; Due to prolonged insecurity concerns, some parts of states, including Borno state, were not sampled",EN,2024-03-18T00:00:00.000Z
SE_DEV_ONTRK,"Children aged 36-59 months who are developmentally on track in at least three of the following domains: literacy-numeracy, physical development, social-emotional development and learning (%)",numeric,WPR,Western Pacific,Country,VNM,Viet Nam,Year,2021,true,Sex,Male,SEX_MLE,Age Group,24 to 59 months,AGEGROUP_MONTHS24-59,,,,,,,76.76,,,,,,76.8,,ECDI 2030,EN,2024-03-18T00:00:00.000Z
SE_DEV_ONTRK,"Children aged 36-59 months who are developmentally on track in at least three of the following domains: literacy-numeracy, physical development, social-emotional development and learning (%)",numeric,AMR,Americas,Country,MEX,Mexico,Year,2021,true,Sex,Female,SEX_FMLE,Age Group,24 to 59 months,AGEGROUP_MONTHS24-59,,,,,,,78.1,,,,,,78.1,,ECDI 2030,EN,2024-03-18T00:00:00.000Z
SE_DEV_ONTRK,"Children aged 36-59 months who are developmentally on track in at least three of the following domains: literacy-numeracy, physical development, social-emotional development and learning (%)",numeric,WPR,Western Pacific,Country,VNM,Viet Nam,Year,2021,true,Sex,Both sexes,SEX_BTSX,Age Group,24 to 59 months,AGEGROUP_MONTHS24-59,,,,,,,78.19,,,,,,78.2,,ECDI 2030,EN,2024-03-18T00:00:00.000Z
SE_DEV_ONTRK,"Children aged 36-59 months who are developmentally on track in at least three of the following domains: literacy-numeracy, physical development, social-emotional development and learning (%)",numeric,WPR,Western Pacific,Country,VNM,Viet Nam,Year,2021,true,Sex,Female,SEX_FMLE,Age Group,24 to 59 months,AGEGROUP_MONTHS24-59,,,,,,,79.7,,,,,,79.7,,ECDI 2030,EN,2024-03-18T00:00:00.000Z
